Generator Learning Rate: 2.5e-05
Let's go!
Generator Learning Rate: 2.5e-05
2024-03-30 19:39:08.433433 Epoch [001/050], Step [0590/0723], Gen Loss: 1.0286
2024-03-30 19:39:10.411604 Epoch [001/050], Step [0600/0723], Gen Loss: 1.0302
2024-03-30 19:39:12.393563 Epoch [001/050], Step [0610/0723], Gen Loss: 1.0132
2024-03-30 19:39:14.368950 Epoch [001/050], Step [0620/0723], Gen Loss: 1.0001
2024-03-30 19:39:16.348576 Epoch [001/050], Step [0630/0723], Gen Loss: 0.9881
2024-03-30 19:39:18.325423 Epoch [001/050], Step [0640/0723], Gen Loss: 0.9787
2024-03-30 19:39:20.300330 Epoch [001/050], Step [0650/0723], Gen Loss: 0.9867
2024-03-30 19:39:22.277565 Epoch [001/050], Step [0660/0723], Gen Loss: 0.9988
2024-03-30 19:39:24.253263 Epoch [001/050], Step [0670/0723], Gen Loss: 1.0153
2024-03-30 19:39:26.230934 Epoch [001/050], Step [0680/0723], Gen Loss: 1.0090
2024-03-30 19:39:28.207564 Epoch [001/050], Step [0690/0723], Gen Loss: 0.9807
2024-03-30 19:39:30.180441 Epoch [001/050], Step [0700/0723], Gen Loss: 0.9798
2024-03-30 19:39:32.127665 Epoch [001/050], Step [0710/0723], Gen Loss: 0.9846
2024-03-30 19:39:34.151416 Epoch [001/050], Step [0720/0723], Gen Loss: 0.9915
2024-03-30 19:39:35.199209 Epoch [001/050], Step [0723/0723], Gen Loss: 0.9933
Generator Learning Rate: 2.5e-05
2024-03-30 19:39:37.583867 Epoch [002/050], Step [0010/0723], Gen Loss: 1.0213
2024-03-30 19:39:39.574616 Epoch [002/050], Step [0020/0723], Gen Loss: 1.0219
2024-03-30 19:39:41.564949 Epoch [002/050], Step [0030/0723], Gen Loss: 1.1578
2024-03-30 19:39:43.547577 Epoch [002/050], Step [0040/0723], Gen Loss: 1.1388
2024-03-30 19:39:45.532795 Epoch [002/050], Step [0050/0723], Gen Loss: 1.1526
2024-03-30 19:39:47.523317 Epoch [002/050], Step [0060/0723], Gen Loss: 1.2555
2024-03-30 19:39:49.510450 Epoch [002/050], Step [0070/0723], Gen Loss: 1.3356
2024-03-30 19:39:51.496622 Epoch [002/050], Step [0080/0723], Gen Loss: 1.4231
2024-03-30 19:39:53.475043 Epoch [002/050], Step [0090/0723], Gen Loss: 1.4495
2024-03-30 19:39:55.453043 Epoch [002/050], Step [0100/0723], Gen Loss: 1.3632
2024-03-30 19:39:57.431177 Epoch [002/050], Step [0110/0723], Gen Loss: 1.1854
2024-03-30 19:39:59.415445 Epoch [002/050], Step [0120/0723], Gen Loss: 1.0880
2024-03-30 19:40:01.395392 Epoch [002/050], Step [0130/0723], Gen Loss: 1.0403
2024-03-30 19:40:03.383718 Epoch [002/050], Step [0140/0723], Gen Loss: 1.0163
2024-03-30 19:40:05.367201 Epoch [002/050], Step [0150/0723], Gen Loss: 0.9934
2024-03-30 19:40:07.350326 Epoch [002/050], Step [0160/0723], Gen Loss: 0.9789
2024-03-30 19:40:09.333591 Epoch [002/050], Step [0170/0723], Gen Loss: 0.9649
2024-03-30 19:40:11.313677 Epoch [002/050], Step [0180/0723], Gen Loss: 0.9534
2024-03-30 19:40:13.298398 Epoch [002/050], Step [0190/0723], Gen Loss: 0.9507
2024-03-30 19:40:15.279330 Epoch [002/050], Step [0200/0723], Gen Loss: 0.9365
2024-03-30 19:40:17.262452 Epoch [002/050], Step [0210/0723], Gen Loss: 0.9386
2024-03-30 19:40:19.246268 Epoch [002/050], Step [0220/0723], Gen Loss: 0.9250
2024-03-30 19:40:21.231731 Epoch [002/050], Step [0230/0723], Gen Loss: 0.9151
2024-03-30 19:40:23.214494 Epoch [002/050], Step [0240/0723], Gen Loss: 0.9104
2024-03-30 19:40:25.203703 Epoch [002/050], Step [0250/0723], Gen Loss: 0.8909
2024-03-30 19:40:27.194548 Epoch [002/050], Step [0260/0723], Gen Loss: 0.8941
2024-03-30 19:40:29.186356 Epoch [002/050], Step [0270/0723], Gen Loss: 0.8818
2024-03-30 19:40:31.170432 Epoch [002/050], Step [0280/0723], Gen Loss: 0.8736
2024-03-30 19:40:33.152742 Epoch [002/050], Step [0290/0723], Gen Loss: 0.8806
2024-03-30 19:40:35.135126 Epoch [002/050], Step [0300/0723], Gen Loss: 0.8832
2024-03-30 19:40:37.127318 Epoch [002/050], Step [0310/0723], Gen Loss: 0.9021
2024-03-30 19:40:39.115936 Epoch [002/050], Step [0320/0723], Gen Loss: 0.9051
2024-03-30 19:40:41.103905 Epoch [002/050], Step [0330/0723], Gen Loss: 0.9072
2024-03-30 19:40:43.094084 Epoch [002/050], Step [0340/0723], Gen Loss: 0.8935
2024-03-30 19:40:45.084346 Epoch [002/050], Step [0350/0723], Gen Loss: 0.8791
2024-03-30 19:40:47.076867 Epoch [002/050], Step [0360/0723], Gen Loss: 0.8674
2024-03-30 19:40:49.160890 Epoch [002/050], Step [0370/0723], Gen Loss: 0.8620
2024-03-30 19:40:51.152326 Epoch [002/050], Step [0380/0723], Gen Loss: 0.8653
2024-03-30 19:40:53.139116 Epoch [002/050], Step [0390/0723], Gen Loss: 0.8575
2024-03-30 19:40:55.129291 Epoch [002/050], Step [0400/0723], Gen Loss: 0.8518
2024-03-30 19:40:57.119632 Epoch [002/050], Step [0410/0723], Gen Loss: 0.8474
2024-03-30 19:40:59.112186 Epoch [002/050], Step [0420/0723], Gen Loss: 0.8334
2024-03-30 19:41:01.105048 Epoch [002/050], Step [0430/0723], Gen Loss: 0.8253
2024-03-30 19:41:03.098755 Epoch [002/050], Step [0440/0723], Gen Loss: 0.8316
2024-03-30 19:41:05.097194 Epoch [002/050], Step [0450/0723], Gen Loss: 0.8284
2024-03-30 19:41:07.093147 Epoch [002/050], Step [0460/0723], Gen Loss: 0.8357
2024-03-30 19:41:09.085823 Epoch [002/050], Step [0470/0723], Gen Loss: 0.8490
2024-03-30 19:41:11.075852 Epoch [002/050], Step [0480/0723], Gen Loss: 0.8517
2024-03-30 19:41:13.063725 Epoch [002/050], Step [0490/0723], Gen Loss: 0.8676
2024-03-30 19:41:15.047750 Epoch [002/050], Step [0500/0723], Gen Loss: 0.8596
2024-03-30 19:41:17.030466 Epoch [002/050], Step [0510/0723], Gen Loss: 0.8562
2024-03-30 19:41:19.011677 Epoch [002/050], Step [0520/0723], Gen Loss: 0.8408
2024-03-30 19:41:21.006632 Epoch [002/050], Step [0530/0723], Gen Loss: 0.8207
2024-03-30 19:41:22.999844 Epoch [002/050], Step [0540/0723], Gen Loss: 0.8120
2024-03-30 19:41:24.981112 Epoch [002/050], Step [0550/0723], Gen Loss: 0.8238
2024-03-30 19:41:26.963011 Epoch [002/050], Step [0560/0723], Gen Loss: 0.8316
